Address,Neighborhood,Ward,Description,ZipCode,Usage,Lot Square Feet,ParcelId
3115 MARNICE PL,The Greater Ville,4,,63115,Vacant Lot,2980.200405,44650001000
3138 NEW ASHLAND PL,The Greater Ville,4,,63115,Vacant Lot,2982.679769,44670402200
4580 GARFIELD AV,The Greater Ville,4,,63113,Vacant Lot,2987.068508,37200000500
3818 COTTAGE AV,JeffVanderLou,4,,63113,Vacant Lot,2996.2477615,36310002200
4038 LINCOLN AV,The Greater Ville,4,,63113,Vacant Lot,2999.9951735,36520000900
3912 LINCOLN AV,The Greater Ville,4,,63113,Vacant Lot,3000,36430002200
4262 W GARFIELD AV,The Ville,4,,63113,Vacant Lot,3000,36840000700
2408 N SARAH ST,The Greater Ville,4,,63113,Vacant Lot,3000,36540004800
3635 ALDINE AV,JeffVanderLou,4,,63113,Vacant Lot,3000,18800003200
4031 NORTH MARKET ST,The Greater Ville,4,,63113,Vacant Lot,3000,36540003400
4264 W GARFIELD AV,The Ville,4,,63113,Vacant Lot,3000,36840000600
3636 COTE BRILLIANTE AV,JeffVanderLou,4,,63113,Vacant Lot,3000,18800000700
4035 ST FERDINAND AV,The Greater Ville,4,,63113,Vacant Lot,3000.013312,36530003000
2518 N SARAH ST,The Greater Ville,4,,63113,Vacant Lot,3000.025426,36530004500
3906 LINCOLN AV,The Greater Ville,4,,63113,Vacant Lot,3000.035129,36430002500
4049 COTTAGE AV,The Greater Ville,4,,63113,Vacant Lot,3000.035181,36520003400
4022 COTTAGE AV,The Greater Ville,4,,63113,Vacant Lot,3000.035181,36530001200
4047 COTTAGE AV,The Greater Ville,4,,63113,Vacant Lot,3000.0537165,36520003300
3914 COTTAGE AV,The Greater Ville,4,,63113,Vacant Lot,3000.05391,36420000200
3915 N MARKET PL,The Greater Ville,4,,63113,Vacant Lot,3000.05391,36410002900
4031 ST FERDINAND AV,The Greater Ville,4,,63113,Vacant Lot,3000.071855,36530002900
4047 ST FERDINAND AV,The Greater Ville,4,,63113,Vacant Lot,3000.071855,36530003500
4037 ST FERDINAND AV,The Greater Ville,4,,63113,Vacant Lot,3000.071855,36530003100
3911 N MARKET PL,The Greater Ville,4,,63113,Vacant Lot,3000.0722595,36410002800
3963 N MARKET PL,The Greater Ville,4,,63113,Vacant Lot,3000.0722595,36410004200
3904 LINCOLN AV,The Greater Ville,4,,63113,Vacant Lot,3000.075151,36430002600
3910 LINCOLN AV,The Greater Ville,4,,63113,Vacant Lot,3000.075151,36430002300
3908 LINCOLN AV,The Greater Ville,4,,63113,Vacant Lot,3000.081546,36430002400
4020 COTTAGE AV,The Greater Ville,4,,63113,Vacant Lot,3000.0937245,36530001300
4055 ST FERDINAND AV,The Greater Ville,4,,63113,Vacant Lot,3000.0937245,36530003800
2516 N SARAH ST,The Greater Ville,4,,63113,Vacant Lot,3000.1122595,36530004400
4345 N MARKET PL,The Ville,4,,63113,Vacant Lot,3003.8189055,36950003000
3107 NEW ASHLAND PL,The Greater Ville,4,,63115,Vacant Lot,3005.8986295,44660003200
1715 N GRAND BLVD,JeffVanderLou,4,,63106,Vacant Lot,3010,18800001900
4581 KENNERLY AV,The Greater Ville,4,,63113,Vacant Lot,3013.504494,37150005300
3030 NEW ASHLAND PL,The Greater Ville,4,,63115,Vacant Lot,3015.6405655,44670400600
1721 N GRAND BLVD,JeffVanderLou,4,,63106,Vacant Lot,3017,18800001800
4168 ASHLAND AV,The Greater Ville,4,,63115,Vacant Lot,3018.854504,36230002700
4230 W ALDINE AV,The Ville,4,,63113,Vacant Lot,3020,36820001500
3831 COTTAGE AV,JeffVanderLou,4,,63113,Vacant Lot,3028.8852735,36300002900
4040 ST FERDINAND AV,The Greater Ville,4,,63113,Vacant Lot,3035.469909,36540000800
3106 ROLLA PL,The Greater Ville,4,,63115,Vacant Lot,3043.4955975,44670301400
4433 ST FERDINAND AV,The Ville,4,,63113,Vacant Lot,3044.7808635,37050003100
3650 COTE BRILLIANTE AV,JeffVanderLou,4,,63113,Vacant Lot,3045.854548,18800000100
3140 NEW ASHLAND PL,The Greater Ville,4,,63115,Vacant Lot,3046.540611,44670402300
4570 N MARKET PL,The Greater Ville,4,,63113,Vacant Lot,3047.949718,37190000800
4432 GARFIELD AV,The Ville,4,,63113,Vacant Lot,3048.9399405,37020000800
3115 NEW ASHLAND PL,The Greater Ville,4,,63115,Vacant Lot,3049.537818,44660002800
4575 KENNERLY AV,The Greater Ville,4,,63113,Vacant Lot,3050.995482,37150005000
3633 ALDINE AV,JeffVanderLou,4,,63113,Vacant Lot,3053.5603405,18800003100
4042 N MARKET PL,The Greater Ville,4,,63113,Vacant Lot,3056.044003,36550000800
4236 W GARFIELD AV,The Ville,4,,63113,Vacant Lot,3058.4305975,36840001300
4054 GARFIELD AV,The Greater Ville,4,,63113,Vacant Lot,3058.9057205,36560000200
4439 MAFFITT AV,The Ville,4,,63113,Vacant Lot,3059.6989105,37080002000
4426 COTE BRILLIANTE AV,The Ville,4,,63113,Vacant Lot,3060.8144615,37010001400
1525 ANNIE MALONE DR,The Ville,4,,63113,Vacant Lot,3061.1,36820002200
4582 GARFIELD AV,The Greater Ville,4,,63113,Vacant Lot,3062.541993,37200000400
3969 N MARKET PL,The Greater Ville,4,,63113,Vacant Lot,3063.285263,36410004400
4046 N MARKET PL,The Greater Ville,4,,63113,Vacant Lot,3063.319876,36550000700
4426 COTTAGE AV,The Ville,4,,63113,Vacant Lot,3063.4694385,37050001100
3725 GARFIELD AV,JeffVanderLou,4,,63113,Vacant Lot,3064.567065,18710002000
4427 COTTAGE AV,The Ville,4,,63113,Vacant Lot,3064.8291745,37060003200
4228 W ALDINE AV,The Ville,4,,63113,Vacant Lot,3069.044922,36820001600
4416 ALDINE AV,The Ville,4,,63113,Vacant Lot,3071.0894875,37000001500
3616 COTE BRILLIANTE AV,JeffVanderLou,4,,63113,Vacant Lot,3072.139276,18800001500
4432 NORTH MARKET ST,The Ville,4,,63113,Vacant Lot,3074.389551,37030000900
